finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source,notes
Sonora occipitalis,Metazoa,Lepidosauria,Squamata,Colubridae,Sonora,Sonora occipitalis,1.39153e-5,RepTraits,NA
Sorex cinereus,Metazoa,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex cinereus,0.00417,Tamburello_etal_2015,NA
Sus scrofa,Metazoa,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,96.11809,EltonTraits,NA
Sylvilagus aquaticus,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus aquaticus,2.198,Harestad and Bunnel 1979,NA
Sylvilagus audubonii,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus audubonii,0.88963,EltonTraits,NA
Sylvilagus bachmani,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus bachmani,0.695,Harestad_ Bunnel_1979,NA
Sylvilagus cunicularius,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus cunicularius,2.99999,EltonTraits,NA
Sylvilagus dicei,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus dicei,1.34335,EltonTraits,NA
Sylvilagus floridanus,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,1.36079,Tamburello_etal_2015,NA
Sylvilagus nuttallii,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus nuttallii,0.75509,EltonTraits,NA
Tamandua mexicana,Metazoa,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua mexicana,4.20998,EltonTraits,NA
Tamias alpinus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Neotamias alpinus,0.03655,EltonTraits,NA
Tamias dorsalis,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias dorsalis,0.0711,EltonTraits,NA
Tamias merriami,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias merriami,0.0748,EltonTraits,NA
