"","species","latitude","longitude","sociality","body_mass_g"
"264","Bathyergus suillus",-33.955303,18.480138,"solitary",780
"265","Bathyergus suillus",-34.000236,22.648517,"solitary",780
"266","Bathyergus suillus",-34.332609,19.029582,"solitary",780
"267","Bathyergus suillus",-33.767244,18.452531,"solitary",780
"268","Bathyergus suillus",-33.952125,18.484991,"solitary",780
"269","Bathyergus suillus",-33.958192,18.483661,"solitary",780
"270","Bathyergus suillus",-34.171199,18.337194,"solitary",780
"271","Bathyergus suillus",-34.010325,22.792262,"solitary",780
"272","Bathyergus suillus",-34.170212,18.335785,"solitary",780
"273","Bathyergus suillus",-33.959305,18.482689,"solitary",780
"274","Bathyergus suillus",-33.988197,22.716344,"solitary",780
"275","Bathyergus suillus",-34.412012,19.155833,"solitary",780
"276","Bathyergus suillus",-34.662617,19.489875,"solitary",780
"277","Bathyergus suillus",-34.063925,18.581957,"solitary",780
"278","Bathyergus suillus",-34.024989,22.773884,"solitary",780
"279","Bathyergus suillus",-34.072517,18.830922,"solitary",780
"280","Bathyergus suillus",-33.889375,18.514577,"solitary",780
"281","Bathyergus suillus",-34.059739,18.498564,"solitary",780
"282","Bathyergus suillus",-33.54178,18.5316,"solitary",780
"283","Bathyergus suillus",-34.197995,18.37549,"solitary",780
"284","Bathyergus suillus",-34.060704,18.497863,"solitary",780
"285","Bathyergus suillus",-33.95841,18.482327,"solitary",780
"286","Bathyergus suillus",-34.196268,18.374994,"solitary",780
"287","Bathyergus suillus",-34.059712,18.498538,"solitary",780
"288","Bathyergus suillus",-33.85614,18.500775,"solitary",780
"289","Bathyergus suillus",-33.778738,18.450988,"solitary",780
"290","Bathyergus suillus",-34.351233,21.438488,"solitary",780
"291","Bathyergus suillus",-34.432794,19.458837,"solitary",780
"292","Bathyergus suillus",-34.0302,18.64897,"solitary",780
"293","Bathyergus suillus",-33.98444,22.71528,"solitary",780
"294","Bathyergus suillus",-34.18568,21.959567,"solitary",780
"295","Bathyergus suillus",-34.257533,18.38331,"solitary",780
