sourceTaxonName,interactionTypeName,targetTaxonName,Mass_kg,Mass_source,decimalLatitude,decimalLongitude,localityName,sourceCitation
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,60.50833334,13.89166667,"Leksand/Hasselfors/Grang?rde/Nyskoga/Hagfors/Tyngsj�/Tisj�n/Furudal/Dals-Ed, Koppang/Filipstad/?rj?ng/Bogr?n-gen/Glaskogen/Uttersberg/Malung/Atndalen/Gravendal/R�mskog N/V?ler N.","Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,61.797413,-150.249867,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,47.4882,-114.3838,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,63.808235,-120.027429,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,47.548,-71.3248,Lac Jacques-Cartier,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,55.95,-113.8166667,West Side of the Athabasca River/Western portion of the East Side of the Athabasca River,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,63,31,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,33.30833334,54.65,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,55.75,30.33333333,Lovat River,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,48.31666667,-95.98333333,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,55.75,30.33333333,Lovat River,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,46.83333333,-65,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,47.4882,-114.3838,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,58.45,-135.7166667,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,46.83333333,-65,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,63,31,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,60.50833334,13.89166667,"Leksand/Hasselfors/Grang?rde/Nyskoga/Hagfors/Tyngsj�/Tisj�n/Furudal/Dals-Ed, Koppang/Filipstad/?rj?ng/Bogr?n-gen/Glaskogen/Uttersberg/Malung/Atndalen/Gravendal/R�mskog N/V?ler N.","Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,61.5,-117,Mackenzie Bison Sanctuary,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,63.18825,-151.215357,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,43.7498,-110.0799,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,55.75,30.33333333,Lovat River,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,47.4882,-114.3838,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
